SVFNR,POSTNR,HEITI_NF,HEITI_TGF,HUSMERKING
1000,201,Bæjarlind,Bæjarlind,8
4604,451,Höfði,Höfða,
2000,260,Dalsbraut,Dalsbraut,1K
6613,660,Krafla,Kröflu,2E
6100,671,Vatnshús,Vatnshúsi,
1000,200,Nýbýlavegur,Nýbýlavegi,12
1000,201,Dalsmári,Dalsmára,11
1000,201,Dalsmári,Dalsmára,9
1000,200,Digranesheiði,Digranesheiði,8
1400,220,Drangahraun,Drangahrauni,10
0000,104,Dugguvogur,Dugguvogi,49
2000,230,Duusgata,Duusgötu,10
2506,191,Efri Brunnastaðir,Efri Brunnastöðum,1
0000,105,Engjateigur,Engjateigi,17
0000,105,Engjateigur,Engjateigi,19
0000,105,Eskihlíð,Eskihlíð,2
0000,105,Eskihlíð,Eskihlíð,4
0000,112,Fannafold,Fannafold,102
0000,112,Fannafold,Fannafold,104
0000,112,Fannafold,Fannafold,113a
0000,112,Fannafold,Fannafold,123A
0000,112,Fannafold,Fannafold,125A
0000,112,Fannafold,Fannafold,127A
0000,112,Fannafold,Fannafold,143A
2000,230,Faxabraut,Faxabraut,13
2000,230,Faxabraut,Faxabraut,40A
2000,230,Faxabraut,Faxabraut,42A
0000,107,Fálkagata,Fálkagötu,14
0000,107,Fálkagata,Fálkagötu,16
0000,107,Fálkagata,Fálkagötu,27a
0000,101,Fiskislóð,Fiskislóð,49
2510,250,Meiðastaðavegur,Meiðastaðavegi,14
1000,201,Fífulind,Fífulind,13
1000,201,Fífulind,Fífulind,15
2300,240,Staðarhraun,Staðarhrauni,24B
2510,246,Efri-Flankastaðir,Efri-Flankastöðum,
0000,105,Flókagata,Flókagötu,49A
2510,235,Fálkavöllur,Fálkavelli,13
1604,270,Flugumýri,Flugumýri,24
0000,110,Fossháls,Fosshálsi,13
0000,110,Fossháls,Fosshálsi,15
0000,110,Dragháls,Draghálsi,6
0000,110,Dragháls,Draghálsi,8
0000,112,Frostafold,Frostafold,12
2510,250,Garðbraut,Garðbraut,51
2000,233,Hafnagata,Hafnagötu,30
2510,250,Garðbraut,Garðbraut,85
2510,250,Gauksstaðir,Gauksstöðum,
0000,112,Gautavík,Gautavík,29
0000,112,Gautavík,Gautavík,31
2510,250,Gerðavegur,Gerðavegi,22
0000,111,Gerðuberg,Gerðubergi,5
2000,230,Gígjuvellir,Gígjuvöllum,3
0000,112,Reykjafold,Reykjafold,2
0000,112,Reykjafold,Reykjafold,4
0000,112,Reykjafold,Reykjafold,6
0000,112,Reykjafold,Reykjafold,8
0000,112,Reykjafold,Reykjafold,10
0000,112,Reykjafold,Reykjafold,12
0000,112,Reykjafold,Reykjafold,14
0000,112,Reykjafold,Reykjafold,16
0000,112,Reykjafold,Reykjafold,18
0000,112,Reykjafold,Reykjafold,20
0000,112,Reykjafold,Reykjafold,22
0000,112,Reykjafold,Reykjafold,26
0000,112,Reykjafold,Reykjafold,30
0000,105,Reykjahlíð,Reykjahlíð,8
0000,105,Reykjahlíð,Reykjahlíð,12
0000,105,Vesturhlíð,Vesturhlíð,6
0000,105,Reykjavegur,Reykjavegi,24
0000,102,Reykjavíkurvegur,Reykjavíkurvegi,23
0000,102,Reykjavíkurvegur,Reykjavíkurvegi,29
0000,102,Reykjavíkurvegur,Reykjavíkurvegi,33
0000,105,Reynihlíð,Reynihlíð,2
0000,105,Reynihlíð,Reynihlíð,5
3609,311,Kaðalsstaðir,Kaðalsstöðum,2
3609,311,Arnbjargarlækur,Arnbjargarlæk,2
3609,311,Arnbjargarlækur,Arnbjargarlæk,
3609,311,Hvassafell,Hvassafelli,
3609,311,Hlöðutún-lóð,Hlöðutúni-lóð,
3609,311,Valbjarnarvellir,Valbjarnarvöllum,2
3609,311,Þverfell,Þverfelli,1
3609,311,Þverfell,Þverfelli,2
3609,320,Brennistaðir,Brennistöðum,3
3609,310,Berugata,Berugötu,20
3609,310,Hamravík,Hamravík,20
3609,310,Höfðaholt,Höfðaholti,2
3609,310,Fálkaklettur,Fálkakletti,2
3609,310,Svöluklettur,Svölukletti,2
3609,310,Borgarvík,Borgarvík,2
3609,310,Borgarbraut,Borgarbraut,2
3609,310,Böðvarsgata,Böðvarsgötu,2
3609,310,Þórunnargata,Þórunnargötu,2
3609,310,Bjarnarbraut,Bjarnarbraut,2
3609,310,Brattagata,Bröttugötu,2
3609,310,Ánahlíð,Ánahlíð,2
3609,310,Hamravík,Hamravík,2
3609,310,Austurholt,Austurholti,2
3609,310,Sólbakki,Sólbakka,2
3609,310,Þórólfsgata,Þórólfsgötu,19A
3609,310,Skúlagata,Skúlagötu,19A
3609,310,Kveldúlfsgata,Kveldúlfsgötu,19
3609,310,Þorsteinsgata,Þorsteinsgötu,19
3609,310,Böðvarsgata,Böðvarsgötu,19
3609,310,Skúlagata,Skúlagötu,19
0000,110,Smiðshöfði,Smiðshöfða,5
8200,800,Miðstræti,Miðstræti,2
0000,105,Snorrabraut,Snorrabraut,31
0000,108,Sogavegur,Sogavegi,111
8200,800,Kirkjuvegur,Kirkjuvegi,1
1100,170,Suðurströnd,Suðurströnd,
0000,104,Sólheimar,Sólheimum,31
0000,104,Sólheimar,Sólheimum,33
0000,112,Spöngin,Spönginni,25
8717,815,Hjallabraut,Hjallabraut,5
2000,260,Stapagata,Stapagötu,20
0000,109,Stekkjarbakki,Stekkjarbakka,4
0000,105,Stigahlíð,Stigahlíð,45
3000,300,Stillholt,Stillholti,18
0000,108,Stjörnugróf,Stjörnugróf,9
2506,191,Stóra Knarrarnes I,Minna Knarrarnesi I,
2506,191,Stóra Vatnsleysa,Stóru Vatnsleysu,
2000,230,Mánagrund,Mánagrund,0A
2000,260,Fitjabakki,Fitjabakka,2
2000,260,Háseyla,Háseylu,26
2506,190,Akurgerði,Akurgerði,18
2506,190,Akurgerði,Akurgerði,22
2506,190,Akurgerði,Akurgerði,17
2506,190,Akurgerði,Akurgerði,19
2506,190,Akurgerði,Akurgerði,23
2506,190,Vogagerði,Vogagerði,32
8200,800,Langamýri,Löngumýri,32
8200,800,Langamýri,Löngumýri,36
8200,800,Langamýri,Löngumýri,16B
8200,800,Langamýri,Löngumýri,18B
8200,800,Langamýri,Löngumýri,24b
8200,800,Laxabakki,Laxabakka,8
8200,800,Laxabakki,Laxabakka,10
8200,800,Laxabakki,Laxabakka,12
8200,800,Laxabakki,Laxabakka,14
3609,310,Sólbakki,Sólbakka,11
3609,310,Fálkaklettur,Fálkakletti,9
3609,310,Borgarvík,Borgarvík,9
3609,310,Kveldúlfsgata,Kveldúlfsgötu,9
3609,310,Böðvarsgata,Böðvarsgötu,9
3609,310,Sæunnargata,Sæunnargötu,9
3609,310,Helgugata,Helgugötu,9
3609,310,Skúlagata,Skúlagötu,9
3609,310,Dílahæð,Dílahæð,9
3609,310,Garðavík,Garðavík,9
3609,310,Þórólfsgata,Þórólfsgötu,8A
3609,310,Réttarholt,Réttarholti,8
3609,310,Mávaklettur,Mávakletti,8
3609,310,Kveldúlfsgata,Kveldúlfsgötu,8
3609,310,Böðvarsgata,Böðvarsgötu,8
3609,310,Sæunnargata,Sæunnargötu,8
5613,540,Skúlabraut,Skúlabraut,5
5613,540,Skúlabraut,Skúlabraut,7
5613,540,Skúlabraut,Skúlabraut,9
5613,540,Skúlabraut,Skúlabraut,11
5613,540,Skúlabraut,Skúlabraut,13
5613,540,Skúlabraut,Skúlabraut,15
5613,540,Skúlabraut,Skúlabraut,17
5613,540,Skúlabraut,Skúlabraut,19
5613,540,Skúlabraut,Skúlabraut,21
5613,540,Skúlabraut,Skúlabraut,23
5613,540,Skúlabraut,Skúlabraut,25
5613,540,Skúlabraut,Skúlabraut,27
5613,540,Skúlabraut,Skúlabraut,29
5613,540,Skúlabraut,Skúlabraut,31
5613,540,Skúlabraut,Skúlabraut,33
8200,800,Folaldahólar,Folaldahólum,13
3609,320,Akurgerði,Akurgerði,
3609,320,Hýrumelur I,Hýrumel I,
3609,320,Gilsbakki,Gilsbakka,1
3609,320,Hurðarbak,Hurðarbaki,2
3609,310,Borgarvík,Borgarvík,25
3609,310,Kjartansgata,Kjartansgötu,25
3609,310,Böðvarsgata,Böðvarsgötu,25
3609,310,Berugata,Berugötu,24
3609,310,Hamravík,Hamravík,24
3609,310,Þórðargata,Þórðargötu,24
3609,310,Borgarvík,Borgarvík,23
3609,310,Kjartansgata,Kjartansgötu,23
3609,310,Egilsgata,Egilsgötu,23
3609,310,Böðvarsgata,Böðvarsgötu,23
3609,310,Kjartansgata,Kjartansgötu,22
3609,310,Hamravík,Hamravík,22
3609,310,Berugata,Berugötu,22
3609,310,Gunnlaugsgata,Gunnlaugsgötu,21B
3609,310,Borgarvík,Borgarvík,21
3609,310,Kjartansgata,Kjartansgötu,21
3609,310,Borgarbraut,Borgarbraut,21
3609,310,Egilsgata,Egilsgötu,21
3609,310,Skúlagata,Skúlagötu,21
3609,310,Böðvarsgata,Böðvarsgötu,21
3609,310,Kjartansgata,Kjartansgötu,20
3609,310,Ánahlíð,Ánahlíð,20
3609,310,Þórðargata,Þórðargötu,20
8200,800,Folaldahólar,Folaldahólum,19
8200,801,Lækjamót,Lækjamótum,
8200,801,Eystri-Grund,Eystri-Grund,
8200,825,Hásteinsvegur,Hásteinsvegi,42
8200,801,Vestri-Grund,Vestri-Grund,
8720,804,Brjánsstaðir,Brjánsstöðum,
8509,881,Efri-Vík,Efri-Vík,
8200,825,Sandgerði,Sandgerði,2
8200,825,Eyrarbraut,Eyrarbraut,3A
8200,825,Heiðarbrún,Heiðarbrún,16
8200,825,Brekkuholt,Brekkuholti,
8200,820,Mundakot,Mundakoti,1
8200,820,Þykkvaflöt,Þykkvaflöt,3
5508,531,Sólbrún,Sólbrún,
0000,109,Gljúfrasel,Gljúfraseli,15
2300,240,Stamphólsvegur,Stamphólsvegi,1
2510,246,Vallarhús,Vallarhúsum,2
2506,191,Vatnsleysa,Vatnsleysu,
0000,108,Stóragerði,Stóragerði,42
8719,805,Fremriklettur,Fremrikletti,
0000,105,Brautarholt,Brautarholti,2
8719,805,Fremriklettshagi,Fremriklettshaga,
0000,110,Stórhöfði,Stórhöfða,34
0000,110,Stórhöfði,Stórhöfða,36
0000,110,Stórhöfði,Stórhöfða,40
2510,245,Hafnargata,Hafnargötu,4A
2510,245,Strandgata,Strandgötu,1B
2510,245,Strandgata,Strandgötu,2B
2510,245,Strandgata,Strandgötu,21B
0000,112,Bakkastaðir,Bakkastöðum,1A
0000,112,Bakkastaðir,Bakkastöðum,7
0000,112,Bakkastaðir,Bakkastöðum,7B
0000,112,Barðastaðir,Barðastöðum,1
0000,112,Barðastaðir,Barðastöðum,35
0000,102,Bauganes,Bauganesi,1A
2506,191,Bergsstaðir,Bergsstöðum,
0000,101,Bergstaðastræti,Bergstaðastræti,45A
0000,112,Berjarimi,Berjarima,53
2000,230,Bjarnarvellir,Bjarnarvöllum,1
2000,230,Bjarnarvellir,Bjarnarvöllum,12
2000,230,Bjarnarvellir,Bjarnarvöllum,16
2000,230,Bjarnarvellir,Bjarnarvöllum,2
2000,230,Bjarnarvellir,Bjarnarvöllum,3
2000,230,Bjarnarvellir,Bjarnarvöllum,5
2000,230,Bjarnarvellir,Bjarnarvöllum,6
2000,230,Bjarnarvellir,Bjarnarvöllum,8
0000,109,Blöndubakki,Blöndubakka,2
0000,105,Bogahlíð,Bogahlíð,7
2506,191,Borg,Borg,
1300,210,Borgarás,Borgarási,6
0000,105,Borgartún,Borgartúni,34
0000,105,Borgartún,Borgartúni,36
0000,105,Brautarholt,Brautarholti,10
2510,245,Tjarnargata,Tjarnargötu,17
2000,260,Brekkustígur,Brekkustíg,29
0000,110,Stórhöfði,Stórhöfða,28
1000,203,Grandahvarf,Grandahvarfi,10
1000,203,Dimmuhvarf,Dimmuhvarfi,13A
3609,310,Egilsgata,Egilsgötu,19
3609,310,Borgarvík,Borgarvík,18
3609,310,Kjartansgata,Kjartansgötu,18
3609,310,Borgarbraut,Borgarbraut,18
3609,310,Þórólfsgata,Þórólfsgötu,18
3609,310,Gunnlaugsgata,Gunnlaugsgötu,18
3609,310,Ánahlíð,Ánahlíð,18
3609,310,Kveldúlfsgata,Kveldúlfsgötu,18
3609,310,Þórðargata,Þórðargötu,18
3609,310,Hamravík,Hamravík,18
3609,310,Arnarklettur,Arnarkletti,18
3609,310,Berugata,Berugötu,18
3609,310,Þórólfsgata,Þórólfsgötu,17A
3609,310,Sólbakki,Sólbakka,17
3609,310,Kveldúlfsgata,Kveldúlfsgötu,17
3609,310,Þorsteinsgata,Þorsteinsgötu,17
3609,310,Þórólfsgata,Þórólfsgötu,17
3609,310,Skúlagata,Skúlagötu,17
3609,310,Kveldúlfsgata,Kveldúlfsgötu,16A
3609,310,Fálkaklettur,Fálkakletti,16
3609,310,Borgarvík,Borgarvík,16
3609,310,Kjartansgata,Kjartansgötu,16
3609,310,Þórólfsgata,Þórólfsgötu,16
3609,310,Gunnlaugsgata,Gunnlaugsgötu,16
3609,310,Þórðargata,Þórðargötu,16
3609,310,Arnarklettur,Arnarkletti,16
1000,201,Lómasalir,Lómasölum,16
3609,310,Fálkaklettur,Fálkakletti,15
3609,310,Klettavík,Klettavík,15
3609,310,Kjartansgata,Kjartansgötu,15
3609,310,Borgarbraut,Borgarbraut,15
3609,310,Böðvarsgata,Böðvarsgötu,15
3609,310,Egilsgata,Egilsgötu,15
3609,310,Garðavík,Garðavík,15
3609,310,Sólbakki,Sólbakka,13
3609,310,Mávaklettur,Mávakletti,14
3609,310,Kveldúlfsgata,Kveldúlfsgötu,14
3609,310,Þorsteinsgata,Þorsteinsgötu,14
3609,310,Þórólfsgata,Þórólfsgötu,14
3609,310,Gunnlaugsgata,Gunnlaugsgötu,14
3609,310,Þórðargata,Þórðargötu,14
3609,310,Arnarklettur,Arnarkletti,14
1000,201,Lómasalir,Lómasölum,14
3609,310,Mávaklettur,Mávakletti,13
3609,310,Klettavík,Klettavík,13
3609,310,Kjartansgata,Kjartansgötu,13
3609,310,Brákarbraut,Brákarbraut,13
3609,310,Helgugata,Helgugötu,13
3609,310,Borgarbraut,Borgarbraut,13
3609,310,Skúlagata,Skúlagötu,13
3609,310,Þórólfsgata,Þórólfsgötu,12A
3609,310,Borgarvík,Borgarvík,12
3609,310,Borgarbraut,Borgarbraut,12
3609,310,Þórólfsgata,Þórólfsgötu,12
3609,310,Gunnlaugsgata,Gunnlaugsgötu,12
3609,310,Bjarnarbraut,Bjarnarbraut,8
3609,310,Egilsgata,Egilsgötu,8
3609,310,Helgugata,Helgugötu,8
3609,310,Gunnlaugsgata,Gunnlaugsgötu,8
3609,310,Ánahlíð,Ánahlíð,8
3609,310,Þórðargata,Þórðargötu,8
3609,310,Hamravík,Hamravík,8
3609,310,Hrafnaklettur,Hrafnakletti,8
4200,400,Seljalandsvegur,Seljalandsvegi,22
4200,400,Seljalandsvegur,Seljalandsvegi,24
4200,400,Seljalandsvegur,Seljalandsvegi,26
4200,400,Seljalandsvegur,Seljalandsvegi,28
4200,400,Seljalandsvegur,Seljalandsvegi,29
4200,400,Seljalandsvegur,Seljalandsvegi,30
4200,400,Seljalandsvegur,Seljalandsvegi,38
4200,400,Seljalandsvegur,Seljalandsvegi,42
4200,400,Seljalandsvegur,Seljalandsvegi,46
4200,400,Seljalandsvegur,Seljalandsvegi,50
4200,400,Seljalandsvegur,Seljalandsvegi,54
4200,400,Seljalandsvegur,Seljalandsvegi,58
4200,400,Seljalandsvegur,Seljalandsvegi,68
4200,400,Seljalandsvegur,Seljalandsvegi,70
4200,400,Seljalandsvegur,Seljalandsvegi,72
4200,400,Seljalandsvegur,Seljalandsvegi,75
4200,400,Seljalandsvegur,Seljalandsvegi,77
4200,400,Seljalandsvegur,Seljalandsvegi,84A
4200,400,Seljalandsvegur,Seljalandsvegi,87
4200,400,Seljalandsvegur,Seljalandsvegi,100
4200,400,Silfurgata,Silfurgötu,2
4200,400,Silfurgata,Silfurgötu,6
4200,400,Silfurgata,Silfurgötu,8
4200,400,Silfurgata,Silfurgötu,9
4200,400,Silfurgata,Silfurgötu,12
4200,400,Sindragata,Sindragötu,3
4200,400,Sindragata,Sindragötu,6
4200,400,Sindragata,Sindragötu,8
4200,400,Sindragata,Sindragötu,10
4200,400,Skipagata,Skipagötu,2
4200,400,Skipagata,Skipagötu,10
4200,400,Skipagata,Skipagötu,14
4200,400,Skólagata,Skólagötu,8
4200,400,Skólagata,Skólagötu,10
4200,410,Skólavegur,Skólavegi,3
4200,410,Skólavegur,Skólavegi,7
4200,410,Skólavegur,Skólavegi,11
4200,410,Smárateigur,Smárateigi,1
4200,410,Smárateigur,Smárateigi,3
4200,410,Smárateigur,Smárateigi,6
4200,400,Smiðjugata,Smiðjugötu,2
4200,400,Smiðjugata,Smiðjugötu,5
4200,400,Smiðjugata,Smiðjugötu,7
4200,400,Smiðjugata,Smiðjugötu,9
4200,400,Smiðjugata,Smiðjugötu,11A
4200,400,Smiðjugata,Smiðjugötu,13
4200,400,Smiðjugata,Smiðjugötu,10
5609,546,Ræktunarland,Ræktunarlandi,
8200,820,Þykkvaflöt,Þykkvaflöt,8
8200,820,Túngata,Túngötu,9
8200,820,Eyrargata,Eyrargötu,16D
8200,820,Eyrargata,Eyrargötu,3a
8200,820,Eyrargata,Eyrargötu,3b
8200,820,Eyrargata,Eyrargötu,11
8200,820,Eyrargata,Eyrargötu,31
8200,820,Eyrargata,Eyrargötu,16C
8200,820,Eyrargata,Eyrargötu,20A
8716,810,Borgarheiði,Borgarheiði,19H
8716,810,Borgarheiði,Borgarheiði,2V
8716,810,Borgarheiði,Borgarheiði,4V
8716,810,Borgarheiði,Borgarheiði,6V
8716,810,Borgarheiði,Borgarheiði,8H
0000,113,Vínlandsleið,Vínlandsleið,2
0000,113,Vínlandsleið,Vínlandsleið,6
0000,113,Guðríðarstígur,Guðríðarstíg,2
0000,113,Guðríðarstígur,Guðríðarstíg,6
8717,815,Básahraun,Básahrauni,6
1400,220,Hlíðarbraut,Hlíðarbraut,14A
3811,371,Melstaður,Melstaði,
0000,104,Kleppur,Kleppi,
1604,270,Völuteigur,Völuteigi,7
1604,270,Völuteigur,Völuteigi,11
1604,271,Björk,Björk,
1300,210,Garðatorg,Garðatorgi,5A
0000,110,Stórhöfði,Stórhöfða,30
8200,820,Eyrargata,Eyrargötu,55
8200,820,Eyrargata,Eyrargötu,57
8200,820,Eyrargata,Eyrargötu,61
8200,820,Eyrargata,Eyrargötu,71
8200,820,Eyrargata,Eyrargötu,77
8200,820,Eyrargata,Eyrargötu,
8200,820,Eyrargata,Eyrargötu,44A
8200,820,Eyrargata,Eyrargötu,79
8200,820,Eyrargata,Eyrargötu,46B
8200,820,Eyrargata,Eyrargötu,50
8200,820,Búðarstígur,Búðarstíg,5B
8200,820,Búðarstígur,Búðarstíg,4
8200,820,Skúmsstaðir,Skúmsstöðum,5
2510,251,Skuld,Skuld,
0000,101,Mýrargata,Mýrargötu,
0000,109,Arnarbakki,Arnarbakka,3
1400,220,Arnarhraun,Arnarhrauni,4
1000,200,Auðbrekka,Auðbrekku,9
1000,200,Auðbrekka,Auðbrekku,
2506,191,Auðnir,Auðnum,
2000,233,Merkines,Merkinesi,
0000,101,Austurstræti,Austurstræti,8
0000,110,Álakvísl,Álakvísl,10
0000,110,Álakvísl,Álakvísl,102
0000,110,Álakvísl,Álakvísl,106
1000,201,Dalsmári,Dalsmára,13
1000,201,Galtalind,Galtalind,
1000,201,Gullsmári,Gullsmára,1
1000,201,Gullsmári,Gullsmára,17
1000,201,Gullsmári,Gullsmára,17
1000,201,Gullsmári,Gullsmára,17
1000,201,Gullsmári,Gullsmára,17
1000,200,Hamraborg,Hamraborg,2
1000,200,Hábraut,Hábraut,1A
1000,200,Hábraut,Hábraut,2
1000,200,Hlíðarvegur,Hlíðarvegi,7a
1000,203,Hólmaþing,Hólmaþingi,5A
1000,203,Klappakór,Klappakór,1A
1000,203,Klappakór,Klappakór,1B
1000,203,Klappakór,Klappakór,1C
1000,203,Klappakór,Klappakór,1D
1000,203,Klettakór,Klettakór,1B
1000,200,Kópavogsbrún,Kópavogsbrún,1
0000,105,Borgartún,Borgartúni,24B
0000,105,Borgartún,Borgartúni,24E
1000,200,Kópavogsbarð,Kópavogsbarði,1
1000,200,Kópavogsbarð,Kópavogsbarði,5
1000,200,Kópavogsbarð,Kópavogsbarði,7
1000,200,Kópavogsbarð,Kópavogsbarði,11
1000,200,Kópavogsbarð,Kópavogsbarði,19
1000,200,Kópavogsbarð,Kópavogsbarði,4
1000,200,Kópavogsbarð,Kópavogsbarði,10
1000,200,Kópavogsbarð,Kópavogsbarði,14
1000,200,Kópavogsbarð,Kópavogsbarði,18
1000,200,Kópavogsbarð,Kópavogsbarði,20
1000,200,Kópavogsbakki,Kópavogsbakka,3
1000,200,Kópavogsbakki,Kópavogsbakka,9
1000,200,Kópavogsbakki,Kópavogsbakka,11
1000,200,Kópavogsbakki,Kópavogsbakka,15
1000,200,Kópavogsbakki,Kópavogsbakka,4
1000,200,Kópavogsbakki,Kópavogsbakka,6
1000,200,Kópavogsbakki,Kópavogsbakka,10
1000,200,Kópavogstún,Kópavogstúni,8
1000,203,Vindakór,Vindakór,4
1000,203,Vindakór,Vindakór,10
1100,170,Lindarbraut,Lindarbraut,13
1300,210,Nýhöfn,Nýhöfn,6
1300,210,Litlatún,Litlatúni,1
1400,221,Gjáhella,Gjáhellu,7
8613,861,Ytri Skógar,Ytri-Skógum,
1400,220,Norðurbakki,Norðurbakka,5C
1400,220,Norðurbakki,Norðurbakka,25C
1400,221,Norðurhella,Norðurhellu,5
1400,221,Norðurhella,Norðurhellu,8
1400,221,Norðurhella,Norðurhellu,17
1400,221,Norðurhella,Norðurhellu,7
1400,221,Norðurhella,Norðurhellu,9
1400,221,Suðurhella,Suðurhellu,8
3609,310,Þórðargata,Þórðargötu,12
3609,310,Hamravík,Hamravík,12
3609,310,Arnarklettur,Arnarkletti,12
3609,310,Berugata,Berugötu,12
3609,310,Brákarbraut,Brákarbraut,11A
3609,310,Höfðaholt,Höfðaholti,7
3609,310,Fálkaklettur,Fálkakletti,11
3609,310,Borgarvík,Borgarvík,11
3609,310,Klettavík,Klettavík,11
3609,310,Dílahæð,Dílahæð,11
3609,310,Kveldúlfsgata,Kveldúlfsgötu,11
3609,310,Kjartansgata,Kjartansgötu,11
3609,310,Þorsteinsgata,Þorsteinsgötu,11
3609,310,Brákarbraut,Brákarbraut,11
3609,310,Sæunnargata,Sæunnargötu,11
3609,310,Helgugata,Helgugötu,11
3609,310,Skúlagata,Skúlagötu,11
3609,310,Höfðaholt,Höfðaholti,10
3609,310,Réttarholt,Réttarholti,10
3609,310,Borgarvík,Borgarvík,10
3609,310,Þorsteinsgata,Þorsteinsgötu,10
3609,310,Þórólfsgata,Þórólfsgötu,10
3609,310,Berugata,Berugötu,10
3609,310,Skúlagata,Skúlagötu,10
3609,310,Helgugata,Helgugötu,10
3609,310,Ánahlíð,Ánahlíð,10
3609,310,Hamravík,Hamravík,10
3609,310,Sólbakki,Sólbakka,10
3609,310,Austurholt,Austurholti,1
3609,310,Fálkaklettur,Fálkakletti,1
3609,310,Svöluklettur,Svölukletti,1
3609,310,Klettavík,Klettavík,1
3609,310,Kveldúlfsgata,Kveldúlfsgötu,1
0000,105,Sóltún,Sóltúni,16
1000,203,Gulaþing,Gulaþingi,70
1400,221,Furuás,Furuási,49
1300,210,Árakur,Árakri,4
8613,861,Hvammur,Hvammi,
8613,860,Stórólfshvoll,Stórólfshvoli,
8614,851,Geldingalækur,Geldingalæk,
8614,851,Heysholt,Heysholti,
8614,851,Guttormshagi,Guttormshaga,
8614,851,Fet,Feti,
6000,603,Dvergaholt,Dvergaholti,2B
8614,851,Brautartunga,Brautartungu,
8614,851,Dísukot,Dísukoti,
8614,851,Háfshjáleiga,Háfshjáleigu,
2506,191,Hvassahraun,Hvassahrauni,14
1000,200,Grænatún,Grænatúni,20
2506,191,Hvassahraun,Hvassahrauni,17
3609,311,Jaðar,Jaðri,3
6250,581,Skútustígur,Skútustíg,7
6613,660,Stöng,Stöng,1
8720,804,Vallarbraut,Vallarbraut,14
4200,400,Sólgata,Sólgötu,2
4200,400,Sólgata,Sólgötu,4
4200,400,Sólgata,Sólgötu,5
4200,400,Sólgata,Sólgötu,7
4200,400,Sólgata,Sólgötu,8
4200,400,Stakkanes,Stakkanesi,2
4200,400,Stakkanes,Stakkanesi,4
4200,400,Stakkanes,Stakkanesi,6
4200,400,Stakkanes,Stakkanesi,8
4200,400,Stakkanes,Stakkanesi,10
4200,400,Stakkanes,Stakkanesi,12
4200,400,Stakkanes,Stakkanesi,14
4200,400,Stakkanes,Stakkanesi,16
4200,400,Stakkanes,Stakkanesi,18
4200,410,Stekkjargata,Stekkjargötu,4
4200,410,Stekkjargata,Stekkjargötu,7
4200,410,Stekkjargata,Stekkjargötu,21
4200,410,Stekkjargata,Stekkjargötu,31
4200,410,Stekkjargata,Stekkjargötu,38
4200,400,Stórholt,Stórholti,7
4200,400,Stórholt,Stórholti,11
4200,400,Stórholt,Stórholti,15
4200,400,Stórholt,Stórholti,19
4200,400,Stórholt,Stórholti,23
4200,400,Stórholt,Stórholti,27
4200,400,Stórholt,Stórholti,31
4200,410,Strandgata,Strandgötu,1
4200,410,Strandgata,Strandgötu,3B
4200,410,Strandgata,Strandgötu,7
4200,410,Strandgata,Strandgötu,7B
4200,410,Strandgata,Strandgötu,17
4200,410,Strandgata,Strandgötu,19A
4200,400,Tunguskógur,Tunguskógi,13
4200,400,Tunguskógur,Tunguskógi,2
4200,400,Tunguskógur,Tunguskógi,15
4200,400,Sundstræti,Sundstræti,11
4200,400,Sundstræti,Sundstræti,21
4200,400,Sundstræti,Sundstræti,23
4200,400,Sundstræti,Sundstræti,25
4200,400,Sundstræti,Sundstræti,28
4200,400,Sundstræti,Sundstræti,30
4200,400,Sundstræti,Sundstræti,33
4200,400,Sundstræti,Sundstræti,37
4200,400,Sundstræti,Sundstræti,41
4200,400,Sundstræti,Sundstræti,14a
4200,400,Sundstræti,Sundstræti,27
4200,400,Sunnuholt,Sunnuholti,2
3511,301,Ártröð,Ártröð,7
3511,301,Ártröð,Ártröð,9
3511,301,Ártröð,Ártröð,11
3511,301,Ártröð,Ártröð,13
3511,301,Ártröð,Ártröð,15
3511,301,Ártröð,Ártröð,16
3511,301,Ártröð,Ártröð,18
3511,301,Asparskógar,Asparskógum,2
3511,301,Asparskógar,Asparskógum,6
3511,301,Asparskógar,Asparskógum,8
6000,603,Lyngmói,Lyngmóa,7
6000,603,Langimói,Langamóa,1
0000,110,Álakvísl,Álakvísl,108
0000,112,Gullengi,Gullengi,33
0000,112,Gullengi,Gullengi,35
0000,112,Gullengi,Gullengi,37
0000,112,Gullengi,Gullengi,39
0000,112,Gylfaflöt,Gylfaflöt,24
0000,112,Gylfaflöt,Gylfaflöt,26
0000,112,Gylfaflöt,Gylfaflöt,28
0000,112,Gylfaflöt,Gylfaflöt,30
1000,200,Hafnarbraut,Hafnarbraut,13A
1000,200,Hafnarbraut,Hafnarbraut,21
1000,200,Hafnarbraut,Hafnarbraut,21
2000,233,Kirkjuvogur,Kirkjuvogi,8
4200,400,Tangagata,Tangagötu,21
4200,400,Tangagata,Tangagötu,22
4200,400,Tangagata,Tangagötu,23A
4200,400,Tangagata,Tangagötu,26
4200,400,Tangagata,Tangagötu,30
4200,400,Hlíf,Hlíf,2
4200,400,Túngata,Túngötu,5
4200,400,Túngata,Túngötu,9
4200,400,Túngata,Túngötu,11
4200,400,Túngata,Túngötu,15
4200,400,Túngata,Túngötu,17
4200,400,Túngata,Túngötu,18
4200,430,Túngata,Túngötu,19
4200,430,Túngata,Túngötu,21
4200,400,Urðarvegur,Urðarvegi,4
